PROVINCE,DISTRICT,NEIGHBORHOOD_TYPE,NEIGHBORHOOD,LONGITUDE,LATITUDE
3,SINDHULI,Nagarpalika,Dudhouli,86.24111735,27.03229393
3,SINDHULI,Gaunpalika,Ghanglekh,85.78858091,27.34309217
3,SINDHULI,Gaunpalika,Golanjor,86.06993552,27.25190844
3,SINDHULI,Gaunpalika,Hariharpurgadhi,85.543347,27.25137218
3,SINDHULI,Nagarpalika,Kamalamai,85.93294962,27.18752995
3,SINDHULI,Gaunpalika,Marin,85.69961705,27.25509215
3,SINDHULI,Gaunpalika,Phikkal,86.28850596,27.18665926
3,SINDHULI,Gaunpalika,Sunkoshi_sindhuli,85.88381656,27.37937828
3,SINDHULI,Gaunpalika,Tinpatan,86.13453206,27.13356144
3,RAMECHHAP,Gaunpalika,Doramba,85.92352985,27.54913695
3,RAMECHHAP,Gaunpalika,Gokulganga,86.26665089,27.57611096
3,RAMECHHAP,Gaunpalika,Khadadevi,85.94537426,27.4379186
3,RAMECHHAP,Gaunpalika,Likhu_ramechhap,86.18563247,27.43904662
3,RAMECHHAP,Nagarpalika,Manthali,86.0667145,27.40851436
3,RAMECHHAP,Nagarpalika,Ramechhap,86.14881975,27.3158513
3,RAMECHHAP,Gaunpalika,Sunapati,85.85818836,27.49547136
3,RAMECHHAP,Gaunpalika,Umakunda,86.42482691,27.660688
3,DOLAKHA,Gaunpalika,Baiteshwor,86.13058599,27.6340835
3,DOLAKHA,Nagarpalika,Bhimeshwor,86.02040224,27.68681089
3,DOLAKHA,Gaunpalika,Bigu,86.16108288,27.93538421
3,DOLAKHA,Gaunpalika,Gaurishankar,86.34582046,27.82329161
3,DOLAKHA,Nagarpalika,Jiri,86.28546641,27.66328513
3,DOLAKHA,Gaunpalika,Kalinchok,86.09083902,27.74948179
3,DOLAKHA,Gaunpalika,Melung,86.04576491,27.54396707
3,DOLAKHA,Gaunpalika,Sailung,85.98179651,27.61783328
3,DOLAKHA,Gaunpalika,Tamakoshi,86.1241001,27.54532613
3,SINDHUPALCHOK,Gaunpalika,Balefi,85.80591429,27.78097272
3,SINDHUPALCHOK,Nagarpalika,Barhabise,85.90243786,27.82151387
3,SINDHUPALCHOK,Gaunpalika,Bhotekoshi,85.93856004,27.91783476
3,SINDHUPALCHOK,Nagarpalika,Chautara SangachokGadhi,85.72208507,27.75769277
3,SINDHUPALCHOK,Gaunpalika,Helambu,85.53045265,28.00025675
3,SINDHUPALCHOK,Gaunpalika,Indrawati,85.64128815,27.78370302
3,SINDHUPALCHOK,Gaunpalika,Jugal,85.79340356,28.01525088
3,SINDHUPALCHOK,Gaunpalika,Lisangkhu Pakhar,85.87809114,27.67342355
3,SINDHUPALCHOK,Nagarpalika,Melamchi,85.54314235,27.82624455
3,SINDHUPALCHOK,Gaunpalika,Panchpokhari Thangpal,85.64577815,28.01336785
3,SINDHUPALCHOK,Gaunpalika,Sunkoshi_sindhupalchok,85.80924352,27.70925935
3,SINDHUPALCHOK,Gaunpalika,Tripurasundari,85.94762749,27.75261372
3,KABHREPALANCHOK,Nagarpalika,Banepa,85.51589004,27.6480737
3,KABHREPALANCHOK,Gaunpalika,Bethanchowk,85.49825766,27.5067544
3,KABHREPALANCHOK,Gaunpalika,Bhumlu,85.74805624,27.63604944
3,KABHREPALANCHOK,Gaunpalika,Chaurideurali,85.80743834,27.58053229
3,KABHREPALANCHOK,Nagarpalika,Dhulikhel,85.5745602,27.61769662
3,KABHREPALANCHOK,Gaunpalika,Khanikhola,85.49902123,27.42846977
3,KABHREPALANCHOK,Gaunpalika,Mahabharat,85.62395244,27.39210345
3,KABHREPALANCHOK,Nagarpalika,Mandandeupur,85.60095506,27.70995833
3,KABHREPALANCHOK,Nagarpalika,Namobuddha,85.64207812,27.55294679
3,KABHREPALANCHOK,Nagarpalika,Panauti,85.48053985,27.57698314
3,KABHREPALANCHOK,Nagarpalika,Panchkhal,85.64091423,27.63671071
3,KABHREPALANCHOK,Gaunpalika,Roshi,85.67347641,27.47014533
3,KABHREPALANCHOK,Gaunpalika,Temal,85.75943768,27.50938147
3,LALITPUR,Gaunpalika,Bagmati_lalitpur,85.30635594,27.48403979
3,LALITPUR,Nagarpalika,Godawari,85.33783153,27.58429035
3,LALITPUR,Gaunpalika,Konjyosom,85.3524911,27.53019873
3,LALITPUR,Mahanagarpalika,Lalitpur,85.3179946,27.65033516
3,LALITPUR,Nagarpalika,Mahalaxmi,85.38249199,27.63482024
3,LALITPUR,Gaunpalika,Mahankal,85.40109708,27.4874721
3,BHAKTAPUR,Nagarpalika,Bhaktapur,85.43188084,27.6747538
3,BHAKTAPUR,Nagarpalika,Changunarayan,85.46499621,27.69600581
3,BHAKTAPUR,Nagarpalika,Madhyapur Thimi,85.38379427,27.68224589
3,BHAKTAPUR,Nagarpalika,Suryabinayak,85.42772774,27.64900656
3,KATHMANDU,Nagarpalika,Budhanilakantha,85.3645419,27.77205197
3,KATHMANDU,Nagarpalika,Chandragiri,85.23178876,27.68662573
3,KATHMANDU,Nagarpalika,Dakshinkali,85.26337882,27.61595037
3,KATHMANDU,Nagarpalika,Gokarneshwor,85.41623375,27.77368771
3,KATHMANDU,Nagarpalika,Kageshwori Manahora,85.42153182,27.73490495
3,KATHMANDU,Mahanagarpalika,Kathmandu,85.329528,27.70876419
3,KATHMANDU,Nagarpalika,Kirtipur,85.27739624,27.66652777
3,KATHMANDU,Nagarpalika,Nagarjun,85.2636325,27.7270376
3,KATHMANDU,Nagarpalika,Shankharapur,85.50131975,27.75330396
3,KATHMANDU,Nagarpalika,Tarakeshwor,85.29930991,27.77749201
3,KATHMANDU,Nagarpalika,Tokha,85.33246632,27.77514564
3,NUWAKOT,Nagarpalika,Belkotgadhi,85.12509127,27.82472319
3,NUWAKOT,Nagarpalika,Bidur,85.13830402,27.92563231
3,NUWAKOT,Gaunpalika,Dupcheshwar,85.4285547,27.93778569
3,NUWAKOT,Gaunpalika,Kakani,85.23344043,27.81823476
3,NUWAKOT,Gaunpalika,Kispang,85.12761828,28.03143349
3,NUWAKOT,Gaunpalika,Likhu_nuwakot,85.22649652,27.89274654
3,NUWAKOT,Gaunpalika,Meghang,85.05852127,27.98837581
3,NUWAKOT,Gaunpalika,Panchakanya,85.31700822,27.89383814
3,NUWAKOT,Gaunpalika,Shivapuri,85.37725571,27.85240111
3,NUWAKOT,Gaunpalika,Suryagadhi,85.25484462,27.94514593
3,NUWAKOT,Gaunpalika,Tadi,85.33195771,27.95598106
3,NUWAKOT,Gaunpalika,Tarkeshwar,85.04148128,27.88942848
3,NUWAKOT,Watershed and Wildlife Reserve,Shivapuri Watershed and Wildlife Reserve,85.367636,27.81837014
3,NUWAKOT,National Park,Langtang National Park,85.4409409,28.02324466
3,RASUWA,Gaunpalika,Gosaikunda,85.50962862,28.21206867
3,RASUWA,Gaunpalika,Kalika_rasuwa,85.22428491,28.0269571
3,RASUWA,Gaunpalika,Naukunda,85.30692891,28.02490594
3,RASUWA,Gaunpalika,Parbati Kunda,85.25317352,28.21529516
3,RASUWA,Gaunpalika,Uttargaya,85.18617559,28.08716557
3,DHADING,Gaunpalika,Benighat Rorang,84.76865337,27.75615193
3,DHADING,Nagarpalika,Dhunibesi,85.18205596,27.72946028
3,DHADING,Gaunpalika,Gajuri,84.90540649,27.7493204
3,DHADING,Gaunpalika,Galchi,84.98984292,27.79272113
3,DHADING,Gaunpalika,Gangajamuna,84.93204868,28.0862256
3,DHADING,Gaunpalika,Jwalamukhi,84.79412113,27.92317214
3,DHADING,Gaunpalika,Khaniyabash,85.04478619,28.0821151
3,DHADING,Gaunpalika,Netrawati,84.97381174,27.98645918
3,DHADING,Nagarpalika,Nilakantha,84.92175435,27.91862934
3,DHADING,Gaunpalika,Rubi Valley,85.09343217,28.22192838
3,DHADING,Gaunpalika,Siddhalek,84.84754291,27.84231915
3,DHADING,Gaunpalika,Thakre,85.06676705,27.73805314
3,DHADING,Gaunpalika,Tripura Sundari,84.86023528,28.02158238
3,MAKAWANPUR,Gaunpalika,Bagmati_makawanpur,85.40015057,27.30451444
3,MAKAWANPUR,Gaunpalika,Bakaiya,85.25504944,27.3321831
3,MAKAWANPUR,Gaunpalika,Bhimphedi,85.10666047,27.52754191
3,MAKAWANPUR,Upamahanagarpalika,Hetauda,85.02942391,27.41564814
3,MAKAWANPUR,Gaunpalika,Indrasarowar,85.19818453,27.59335237
3,MAKAWANPUR,Gaunpalika,Kailash,84.95151545,27.60926248
3,MAKAWANPUR,Gaunpalika,Makawanpurgadhi,85.13912859,27.44497277
3,MAKAWANPUR,Gaunpalika,Manahari,84.85355937,27.4722967
3,MAKAWANPUR,Gaunpalika,Raksirang,84.84009785,27.59841215
3,MAKAWANPUR,Nagarpalika,Thaha,85.08830255,27.65130236
3,MAKAWANPUR,Wildlife Reserve,Parsa Wildlife Reserve,84.77347803,27.4949592
3,MAKAWANPUR,National Park,Chitawan National Park_makwanpur,84.70841187,27.49235073
3,CHITAWAN,Mahanagarpalika,Bharatpur,84.38627131,27.6526555
3,CHITAWAN,Gaunpalika,Ichchhyakamana,84.59340299,27.80242612
3,CHITAWAN,Nagarpalika,Kalika_chitawan,84.58837458,27.70952625
3,CHITAWAN,Nagarpalika,Khairahani,84.57333404,27.60550171
3,CHITAWAN,Nagarpalika,Madi,84.37330078,27.42036447
3,CHITAWAN,Nagarpalika,Rapti,84.69182536,27.64915189
3,CHITAWAN,Nagarpalika,Ratnanagar,84.51608017,27.61889799
3,CHITAWAN,National Park,Chitawan National Park_chitawan,84.34330325,27.51128792
